Target ID,Target Name,Priority Number,Site Center WKT,Mode
cal001,railroadValley,1,POINT(-115.6902 38.497),Target Mode
tccon134,val_tsukubaJp,2,POINT(140.1215 36.0513),Target Mode
tccon130,val_sagaJp,3,POINT(130.2882 33.2411),Target Mode
tccon128,val_rikubetsuJp,4,POINT(143.6997 43.45180999999999),Target Mode
tccon127,val_reunionIsland,5,POINT(55.485 -20.901),Target Mode
tccon124,val_parkFallsWI,6,POINT(-90.2725 45.9448),Target Mode
tccon123,val_parisFr,7,POINT(2.356 48.846),Target Mode
tccon122,val_orleansFr,8,POINT(2.1125 47.965),Target Mode
tccon115,val_lauderNz,9,POINT(169.6853 -45.0022),Target Mode
tccon114,val_lamontOK,10,POINT(-97.4855 36.6039),Target Mode
tccon113,val_karlsruheDe,11,POINT(8.43801 49.1),Target Mode
tccon112,val_izanaTenerifeEs,12,POINT(-16.518 28.29701),Target Mode
tccon107,val_darwinAu,13,POINT(130.9167 -12.375),Target Mode
tccon106,val_caltechCA,14,POINT(-118.0729 34.1231),Target Mode
tccon105,val_burgosPh,15,POINT(120.6494991 18.53249979),Target Mode
tccon104,val_bremenDe,16,POINT(8.84951 53.1037),Target Mode
tccon102,val_drydenCA,17,POINT(-117.882 34.958),Target Mode
tccon100,val_anmyeondoKo,18,POINT(126.37289 36.62410999999999),Target Mode
tccon135,val_wollongongAu,19,POINT(150.8545 -34.4506),Target Mode
tccon136,val_cyprus,20,POINT(33.06 35.04),Target Mode
tccon101,val_ascensionIsland,21,POINT(-14.3873 -7.9473),Target Mode
coccon103,val_Jinja_Uganda,22,POINT(33.209 0.503),Target Mode
coccon100,val_Thessaloniki_Greece,23,POINT(22.97 40.63),Target Mode
coccon101,val_Gobabeb_Namibia,24,POINT(15.04 -23.56),Target Mode
coccon102,val_Biust_Botswana,25,POINT(27.12 -22.59),Target Mode
fossil0001,fossil_Seoul_South_Korea,26,POINT(126.97783 37.56826000000007),Area Mapping Mode
fossil0002,fossil_Guangzhou_China,27,POINT(113.2500000000001 23.11667000000006),Area Mapping Mode
texmex018,campaign_texmex_permian01c,28,POINT(-103.851187 32.160132),Area Mapping Mode
texmex022,campaign_texmex_permian02c,29,POINT(-102.010295 32.314015),Area Mapping Mode
desert0000,Flat Desert Test 0000,30,POINT(2.99 30.5),Area Mapping Mode
fossil0003,fossil_New_York_USA,30,POINT(-74.00713999999994 40.71455000000003),Area Mapping Mode
desert0001,Flat Desert Test 0001,31,POINT(24.3 28.4),Area Mapping Mode
fossil0004,fossil_Hong_Kong_China,31,POINT(114.133713499 22.36472318200003),Area Mapping Mode
desert0002,Flat Desert Test 0002,32,POINT(139.85 -23.99),Area Mapping Mode
fossil0005,fossil_Los_Angeles_USA,32,POINT(-118.24532 34.05349000000007),Area Mapping Mode
desert0003,Flat Desert Test 0003,33,POINT(10 30.84),Area Mapping Mode
texmex021,campaign_texmex_permian02b,33,POINT(-102.197474 33.001347),Area Mapping Mode
desert0004,Flat Desert Test 0004,34,POINT(30.86 26.13),Area Mapping Mode
texmex019,campaign_texmex_permian01d,34,POINT(-103.36037 31.564529),Area Mapping Mode
desert0005,Flat Desert Test 0005,35,POINT(121.45 -21.9),Area Mapping Mode
fossil0006,fossil_Shanghai_China,35,POINT(121.45806 31.22222000000005),Area Mapping Mode
desert0006,Flat Desert Test 0006,36,POINT(7.52 31.89),Area Mapping Mode
texmex023,campaign_texmex_permian02d,36,POINT(-101.799985 31.605376),Area Mapping Mode
desert0007,Flat Desert Test 0007,37,POINT(125.75 -19.31),Area Mapping Mode
fossil0007,fossil_Singapore_Singapore,37,POINT(103.7571100000001 1.464780000000076),Area Mapping Mode
desert0008,Flat Desert Test 0008,38,POINT(-1 31.36),Area Mapping Mode
fossil0008,fossil_Chicago_USA,38,POINT(-87.63244999999995 41.88425000000007),Area Mapping Mode
desert0009,Flat Desert Test 0009,39,POINT(18.84 28.22),Area Mapping Mode
texmex020,campaign_texmex_permian01e,39,POINT(-103.149268 31.218347),Area Mapping Mode
desert0010,Flat Desert Test 0010,40,POINT(7.3 32.76),Area Mapping Mode
fossil0009,fossil_Tokyo_Japan,40,POINT(139.6917160900001 35.68945633100003),Area Mapping Mode
desert0011,Flat Desert Test 0011,41,POINT(25.56 28.75),Area Mapping Mode
texmex002,campaign_texmex_freeport,41,POINT(-95.409948 29.004259),Area Mapping Mode
desert0012,Flat Desert Test 0012,42,POINT(11 31.36),Area Mapping Mode
texmex003,campaign_texmex_port_arthur,42,POINT(-93.988229 29.953892),Area Mapping Mode
desert0013,Flat Desert Test 0013,43,POINT(122.72 -22.11),Area Mapping Mode
fossil0010,fossil_Riyadh_Saudi_Arabia,43,POINT(46.68719000000004 24.68218000000007),Area Mapping Mode
